"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:15:00","2025-09-16T06:15:00.000Z",2,35.5,35.5,4882,455,455,30.5,30.5,37,73,73,39,38,1,24.3,40.3
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:10:00","2025-09-16T06:10:00.000Z",2,35.1,35.1,4897,450,450,30.6,30.6,37.2,72,72,37,36,1,24.3,40.2
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:05:00","2025-09-16T06:05:00.000Z",1,33,33,4483,460,460,30.6,30.6,37.1,72,72,36,34,1,23,37.3
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:00:00","2025-09-16T06:00:00.000Z",2,35.7,35.7,4923,450,450,30.5,30.5,37,73,73,31,28,1,24.3,40.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:55:00","2025-09-16T05:55:00.000Z",2,34.9,34.9,4728,435,435,30.3,30.3,36.7,73,73,29,26,1,23.9,39.3
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:50:00","2025-09-16T05:50:00.000Z",1,35.5,35.5,4935,453,453,30.3,30.3,36.6,73,73,32,29,1,24.8,40.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:45:00","2025-09-16T05:45:00.000Z",2,34.8,34.8,4762,448,448,30.3,30.3,36.5,73,73,31,28,1,23.6,38.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:40:00","2025-09-16T05:40:00.000Z",2,33.3,33.3,4542,450,450,30.3,30.3,36.5,73,73,28,25,1,23,36.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:35:00","2025-09-16T05:35:00.000Z",1,33,33,4453,447,447,30.2,30.2,36.4,73,73,28,24,1,22.9,36.3
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:30:00","2025-09-16T05:30:00.000Z",2,32.2,32.2,4128,440,440,30.1,30.1,36.3,74,74,28,24,1,21.5,34.9
